No,prompt,group_id,authority_type,specified_name_or_number,specified_login_address,encrypted_selected_group_id,selected_authority_type_option,selected_connected_with_option,selected_working_status_option,selected_joined_at_from,selected_joined_at_to,selected_retired_at_from,selected_retired_at_to
1,在籍中の従業員を探して,,,,,,,,在籍中,,,,,
2,入社予定の従業員を表示して,,,,,,,,入社予定,,,,,
3,退職予定の従業員を確認したい,,,,,,,,退職予定,,,,,
4,退職済みの従業員を教えて,,,,,,,,退職済み,,,,,
5,在籍中の従業員一覧を見せて,,,,,,,,在籍中,,,,,
6,入社予定の従業員情報を探して,,,,,,,,入社予定,,,,,
7,退職予定の従業員データを表示して,,,,,,,,退職予定,,,,,
8,退職済みの従業員の詳細を確認したい,,,,,,,,退職済み,,,,,
9,在籍中の従業員の情報を教えて,,,,,,,,在籍中,,,,,
10,入社予定の従業員の一覧を見せて,,,,,,,,入社予定,,,,,
11,在籍中の全権管理者を表示して,,"[""全権管理者""]",,,,,全権管理者,在籍中,,,,,
12,入社予定の一般管理者の情報を教えて,,"[""一般管理者""]",,,,,一般管理者,入社予定,,,,,
13,退職予定の一般従業員の一覧を見せて,,"[""一般従業員""]",,,,,一般従業員,退職予定,,,,,
14,退職済みの全権管理者のデータを確認したい,,"[""全権管理者""]",,,,,全権管理者,退職済み,,,,,
15,在籍中でSmartHRから連携している従業員を探して,,,,,,,SmartHR,在籍中,,,,,
16,入社予定でクラウド給与から連携の情報を教えて,,,,,,,クラウド給与,入社予定,,,,,
17,退職予定で連携なしの一覧を見せて,,,,,,,連携なし,退職予定,,,,,
18,退職済みで2024年1月に入社した従業員のデータを確認したい,,,,,,,,退職済み,2024/01/01,2024/01/31,,,
19,在籍中で2024年2月に退職予定の情報を探して,,,,,,,,在籍中,,,2024/02/01,2024/02/29
20,入社予定でSmartHRから連携し、2024年3月に入社する従業員の詳細を教えて,,,,,,,SmartHR,入社予定,2024/03/01,2024/03/31,,,
