No,prompt,group_id,authority_type,specified_name_or_number,specified_login_address,encrypted_selected_group_id,selected_authority_type_option,selected_connected_with_option,selected_working_status_option,selected_joined_at_from,selected_joined_at_to,selected_retired_at_from,selected_retired_at_to
1,山田太郎さんが先週入社した従業員,,,山田太郎,,,,,,2025/05/19,2025/05/23,,
2,佐藤花子さんが先週の月曜日から木曜日までに入社した従業員,,,佐藤花子,,,,,,2025/05/19,2025/05/22,,
3,鈴木一郎さんが先週の金曜日に入社した従業員,,,鈴木一郎,,,,,,2025/05/23,2025/05/23,,
4,田中誠さんが今週の月曜日から水曜日までに入社した従業員,,,田中誠,,,,,,2025/05/26,2025/05/28,,
5,高橋美咲さんが今週の木曜日と金曜日に入社した従業員,,,高橋美咲,,,,,,2025/05/29,2025/05/30,,
6,伊藤健太さんが先週の火曜日から今週の火曜日までに入社した従業員,,,伊藤健太,,,,,,2025/05/20,2025/05/27,,
7,渡辺優子さんが今週の月曜日に入社した従業員,,,渡辺優子,,,,,,2025/05/26,2025/05/26,,
8,中村和也さんが先週の水曜日から金曜日までに入社した従業員,,,中村和也,,,,,,2025/05/21,2025/05/23,,
9,木村拓也さんが今週の火曜日から木曜日までに入社した従業員,,,木村拓也,,,,,,2025/05/27,2025/05/29,,
10,加藤裕子さんが先週の月曜日から今週の金曜日までに入社した従業員,,,加藤裕子,,,,,,2025/05/19,2025/05/30,,
11,小林健太さんが先月入社した従業員,,,小林健太,,,,,,2025/04/01,2025/04/30,,
12,佐々木優子さんが先月の第1週に入社した従業員,,,佐々木優子,,,,,,2025/04/01,2025/04/05,,
13,山本大輔さんが先月の第3週に入社した従業員,,,山本大輔,,,,,,2025/04/14,2025/04/18,,
14,吉田美咲さんが先々月入社した従業員,,,吉田美咲,,,,,,2025/03/01,2025/03/31,,
